Idcar_200m,I_est_200,Idcar_1km,I_est_1km,Idcar_nat,Groupe,Ind,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,Men_pauv,Men,lcog_geo
CRS3035RES200mN2525800E3917600,1,CRS3035RES1000mN2525000E3917000,0,CRS3035RES1000mN2525000E3917000,592351,7,0.3,0.8,0.9,0.3,134852.9,174.1,1.1,0.9,1.2,0.5,0.1,0.2,0,0.2,0.6,0.4,0.5,1.1,0.5,1.4,1.1,0.6,0.8,0,0,0.3,2,"69387,69149"
CRS3035RES200mN2526000E3918000,1,CRS3035RES1000mN2526000E3918000,0,CRS3035RES1000mN2526000E3918000,593649,1,0.3,0,0.1,0,17939.8,32.2,0.4,0.1,0.1,0.4,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.5,0.1,0,0,0,0,0,0.5,69387
CRS3035RES200mN2526200E3918200,1,CRS3035RES1000mN2526000E3918000,0,CRS3035RES1000mN2526000E3918000,593649,5,1.4,0.1,0.6,0.1,89698.9,161.1,2.1,0.3,0.3,1.9,0.1,0.1,0,0.4,0.7,0.4,0.3,0.1,0.3,2.3,0.6,0,0.1,0.2,0,0.1,2.4,69387
CRS3035RES200mN2526400E3918000,1,CRS3035RES1000mN2526000E3918000,0,CRS3035RES1000mN2526000E3918000,593649,25,7.1,0.7,2.9,0.7,448494.7,805.7,10.7,1.4,1.4,9.3,0.7,0.7,0,2.1,3.6,2.2,1.4,0.7,1.4,11.4,2.9,0,0.7,0.7,0,0.7,12.1,69387
CRS3035RES200mN2526400E3918200,1,CRS3035RES1000mN2526000E3918000,0,CRS3035RES1000mN2526000E3918000,593649,1,0.3,0,0.1,0,17939.8,32.2,0.4,0.1,0.1,0.4,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.5,0.1,0,0,0,0,0,0.5,69387
CRS3035RES200mN2526400E3919200,1,CRS3035RES1000mN2526000E3919000,0,CRS3035RES1000mN2526000E3919000,593646,6,0.8,0.1,1.5,0.3,139038,197.4,2.6,0,0,0.1,1.7,0.8,0,0.7,0.3,0.1,0.2,0.4,0.6,1.3,1.3,1.1,0.6,0.1,0,0.2,2.6,69387
CRS3035RES200mN2526600E3918000,1,CRS3035RES1000mN2526000E3918000,0,CRS3035RES1000mN2526000E3918000,593649,3,0.9,0.1,0.3,0.1,53819.4,96.7,1.3,0.2,0.2,1.1,0.1,0.1,0,0.3,0.4,0.2,0.2,0.1,0.2,1.4,0.3,0,0.1,0.1,0,0.1,1.5,69387
CRS3035RES200mN2526600E3918800,0,CRS3035RES1000mN2526000E3918000,0,CRS3035RES1000mN2526000E3918000,593650,62,27,1,0,6,1098078.2,1887,40,0,40,0,0,0,0,0,1,2,1,5,5,17,16,9,4,2,0,4,40,69387
CRS3035RES200mN2526600E3919400,1,CRS3035RES1000mN2526000E3919000,0,CRS3035RES1000mN2526000E3919000,593646,2,0.3,0,0.5,0.1,46346,65.8,0.9,0,0,0,0.6,0.3,0,0.2,0.1,0,0.1,0.1,0.2,0.5,0.4,0.4,0.2,0,0,0.1,0.9,69387
CRS3035RES200mN2526800E3917600,1,CRS3035RES1000mN2526000E3917000,0,CRS3035RES1000mN2526000E3917000,593591,25,3.4,0.7,2.7,0,714102,854.7,8.1,2,2,0.7,0,7.4,0,0,2,0.7,2.7,2,0,6.1,6.1,3.4,0,2,0,0.7,10.1,69387
CRS3035RES200mN2526800E3918200,0,CRS3035RES1000mN2526000E3918000,0,CRS3035RES1000mN2526000E3918000,593651,357,57,15,31,32,6614840.6,10622,151,0,0,0,151,0,0,100,16,9.5,35.5,43,30,83,70,40,25,5,0,34,151,69387
CRS3035RES200mN2526800E3918400,0,CRS3035RES1000mN2526000E3918000,0,CRS3035RES1000mN2526000E3918000,593653,403,116,8,20,22,8764641.2,12364,219,0,61,50,0,108,0,43,16.5,15,23.5,23,37,134,59,24,32,38,1,40,219,69387
CRS3035RES200mN2526800E3918600,0,CRS3035RES1000mN2526000E3918000,0,CRS3035RES1000mN2526000E3918000,593654,679,95,41,7,46,10081568.2,15652,262,0,255,5,0,2,0,252,37,18,55,79,61,102,123,93,69,41,1,93,262,69387
CRS3035RES200mN2526800E3918800,0,CRS3035RES1000mN2526000E3918000,0,CRS3035RES1000mN2526000E3918000,593652,485,75,20,0,46,7209685,12591,205,0,205,0,0,0,0,205,32,16,30.5,47.5,36,65,86,61,70,38,3,75,205,69387
CRS3035RES200mN2526800E3919000,1,CRS3035RES1000mN2526000E3919000,0,CRS3035RES1000mN2526000E3919000,593646,245,31.2,3.7,59.6,11.9,5677385.5,8060.2,104.6,0,0,3.7,70.6,30.3,0,29.4,11,4.6,8.7,15.1,26.6,55.1,53.2,43.1,24.8,2.8,0,8.3,104.6,69387
CRS3035RES200mN2526800E3919200,1,CRS3035RES1000mN2526000E3919000,0,CRS3035RES1000mN2526000E3919000,593646,14,1.8,0.2,3.4,0.7,324422,460.6,6,0,0,0.2,4.1,1.7,0,1.7,0.6,0.3,0.5,0.9,1.5,3.1,3,2.5,1.4,0.2,0,0.5,6,69387
CRS3035RES200mN2527000E3917200,0,CRS3035RES1000mN2527000E3917000,0,CRS3035RES1000mN2527000E3917000,593599,169,36,2,38,6,4677908,5492.6,87,0,0,0,0,85,2,4,14,2,4,8,24,76,30,5,5,1,0,6,87,"69142,69382"
CRS3035RES200mN2527000E3918200,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593685,793.5,237,13,160,30,18652741.7,26418,441,0,0,0,403,38,0,98,44,21.5,30.5,41,68.5,283,149,81,61,14,0,56,441,69387
CRS3035RES200mN2527000E3918400,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593669,212,60,9,35,10,4371951.1,5680,111,0,31,0,0,80,0,18,9,10,10,11,25,94,31,14,4,4,0,30,111,69387
CRS3035RES200mN2527000E3918600,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593682,696.5,183,5,158,37,16468530.1,24638,379,0,101,28,85,165,0,115,34,16.5,28,25,64,193,128,65,99,44,0,48,379,69387
CRS3035RES200mN2527000E3918800,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593679,773.5,114,32,47,46,13560338.3,22968,323,0,1,3,265,54,0,234,54,21.5,49.5,69.5,51,165,154,70,100,32,7,70,323,69387
CRS3035RES200mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593660,263.5,67,3,69,7,6448833.1,8447,146,0,0,57,0,89,0,0,16,4,4.5,12,34,111,35,8,29,10,0,29,146,69387
CRS3035RES200mN2527200E3917000,1,CRS3035RES1000mN2527000E3917000,0,CRS3035RES1000mN2527000E3917000,593597,6,0.8,0.2,0.9,0.1,190318.2,266.8,2.3,0.3,0.3,0,0,2.3,0,0,0.4,0.2,0,0.4,0.6,2.1,1.3,0.6,0.3,0.1,0,0.1,2.6,"69142,69382"
CRS3035RES200mN2527200E3918000,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593674,602,58,33,26,30,12408963.6,16263,214,0,0,0,0,214,0,171,44,20.5,53.5,73,47.5,130,115.5,47,46,24,1,35,214,69387
CRS3035RES200mN2527200E3918200,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593675,567.5,95,18,72,50,10716911.4,16996,254,0,0,154,74,26,0,107,36,12,26,58,59.5,132,105,67,45,22,5,52,254,69387
CRS3035RES200mN2527200E3918400,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593673,274.5,104,4,20,9,5415696,7625,167,0,12,8,0,147,0,43,23,9,8,6.5,49,109,41,21,8,0,0,49,167,69387
CRS3035RES200mN2527200E3918600,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593671,310.5,52,9,80,9,7824538.2,10365,134,0,0,131,0,3,0,26,16.5,7,25,25,23,77,58,37,28,14,0,12,134,69387
CRS3035RES200mN2527200E3918800,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593683,788,215,20,71,40,15566451.9,24241,391,15,23,101,177,105,0,259,40,20,35,56,61,190,162,90,88,45,1,78,406,69387
CRS3035RES200mN2527200E3919000,0,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593665,789,160,23,120,38,16913239.6,23448.9,358,11,58,0,206,105,0,25,72.5,27.5,50.5,43.5,87.5,291,126,38,46,5,1.5,63,369,69387
CRS3035RES200mN2527200E3919200,0,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593658,94,36,2,25,2,2425523.5,3256,58,0,52,0,6,0,0,0,3,3,2,4,6,48,14,4,6,4,0,7,58,69387
CRS3035RES200mN2527400E3917000,1,CRS3035RES1000mN2527000E3917000,0,CRS3035RES1000mN2527000E3917000,593597,4,0.6,0.1,0.6,0.1,126878.8,177.9,1.5,0.2,0.2,0,0,1.5,0,0,0.3,0.1,0,0.3,0.4,1.4,0.8,0.4,0.2,0.1,0,0.1,1.7,"69142,69382"
CRS3035RES200mN2527400E3917800,0,CRS3035RES1000mN2527000E3917000,0,CRS3035RES1000mN2527000E3917000,593601,521.5,60,25,27,27,11077562.9,15328,202,0,0,58,144,0,0,58,36,13,54.5,51,40,131,105,37,39,14,1,30,202,69387
