idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES200mN2525800E3917600,CRS3035RES1000mN2525000E3917000,CRS3035RES1000mN2525000E3917000,1,0,"69387,69149",4,2.1,0.6,1.2,0.2,0.8,0.2,74244.7,147.9,1.9,0.2,1.8,0.1,0,0.2,0,0.3,0.2,0.1,0.2,0.4,0.3,0.8,0.8,0.4,0.7,0.1,0
CRS3035RES200mN2526200E3918200,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,1,0,69387,5,3.3,0.4,2.3,0.1,0.1,0.4,99554.9,162.7,3.2,0.1,3.1,0.1,0,0.1,0,0,0.1,0,0.3,0.1,0.5,1.5,1,1,0.5,0,0
CRS3035RES200mN2526400E3918000,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,117,93,46,80,2,6,2,2160580.5,2877,93,0,0,12,0,81,0,31,2,2,4,4,54,45,4,1,0,1,0
CRS3035RES200mN2526400E3918200,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,1,0,69387,3,2,0.2,1.4,0,0,0.2,59732.9,97.6,1.9,0.1,1.9,0,0,0.1,0,0,0.1,0,0.2,0.1,0.2,0.9,0.6,0.6,0.3,0,0
CRS3035RES200mN2526400E3919200,CRS3035RES1000mN2526000E3919000,CRS3035RES1000mN2526000E3919000,1,0,69387,3,1.4,0.1,0.5,0.1,0.9,0.1,76374.7,112,1.4,0,0,0,1.1,0.3,0,0.3,0.1,0.1,0.2,0.1,0.2,0.6,0.5,0.5,0.6,0.1,0
CRS3035RES200mN2526600E3918000,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,1,0,69387,2,1.3,0.2,0.9,0,0,0.2,39821.9,65.1,1.3,0,1.3,0,0,0,0,0,0,0,0.1,0.1,0.2,0.6,0.4,0.4,0.2,0,0
CRS3035RES200mN2526600E3918800,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,1,0,69387,56.5,37.4,4.2,26.3,0.8,0.8,4.2,1124969.8,1838.6,35.7,1.7,35.7,0.8,0,0.9,0,0,1.7,0,3.8,1.7,5.1,17,11,11.1,5.1,0,0
CRS3035RES200mN2526600E3919400,CRS3035RES1000mN2526000E3919000,CRS3035RES1000mN2526000E3919000,1,0,69387,4,1.9,0.2,0.7,0.1,1.1,0.1,101832.9,149.3,1.9,0,0,0.1,1.4,0.4,0,0.4,0.1,0.1,0.2,0.2,0.3,0.8,0.7,0.7,0.8,0.1,0
CRS3035RES200mN2526800E3917600,CRS3035RES1000mN2526000E3917000,CRS3035RES1000mN2526000E3917000,1,0,69387,17,6.9,1.2,2.9,0.6,2.3,0,446046.9,559,5.2,1.7,1.7,0.6,0,4.6,0,0,1.1,0.6,2.6,1.1,0,3.5,3.5,2.9,0,1.7,0
CRS3035RES200mN2526800E3918200,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,324,140,31,57,12,24,27,6654308.3,9863,140,0,0,0,140,0,0,95,12,6.5,38,45,18.5,63,69,30,33,9,0
CRS3035RES200mN2526800E3918400,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,294.5,168,30,100,7,34,12,7415792.2,9581,168,0,33,37,0,98,0,0,11,2,19.5,21,23,100,49,24,23,22,0
CRS3035RES200mN2526800E3918600,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,491,197,79,73,33,5,38,8260545.9,12044,197,0,187,8,0,2,0,186,9,16,42.5,60.5,26,79,84,78,59,37,0
CRS3035RES200mN2526800E3918800,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,555.5,248,100,101,26,0,55,8805314.9,14957,248,0,248,0,0,0,0,248,15,16,43.5,58.5,25.5,78,94,80,92,53,0
CRS3035RES200mN2526800E3919000,CRS3035RES1000mN2526000E3919000,CRS3035RES1000mN2526000E3919000,1,0,69387,200.5,94.7,8.6,33.5,3.8,57.4,3.8,5104373.8,7483.1,94.7,0,0,2.8,71.8,20.1,0,19.1,3.8,4.8,12.4,8.1,14.4,39.2,33.5,36.4,43.1,4.8,0
CRS3035RES200mN2526800E3919200,CRS3035RES1000mN2526000E3919000,CRS3035RES1000mN2526000E3919000,1,0,69387,2,0.9,0.1,0.3,0,0.6,0,50916.4,74.6,0.9,0,0,0,0.7,0.2,0,0.2,0,0.1,0.1,0.1,0.1,0.4,0.3,0.4,0.4,0.1,0
CRS3035RES200mN2527000E3918000,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,1,0,69387,6,3.7,0.3,2.1,0,0.6,0.3,144479.8,190.9,3.6,0.1,2,0,0.3,1.4,0,1.3,0.5,0,0.3,0.1,0,3.1,0.8,0.4,0.6,0.2,0
CRS3035RES200mN2527000E3918200,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,727,408,71,224,14,155,27,18108130.9,24363,408,0,0,0,373,35,0,104,36.5,11,38.5,41,48,243,156,67,74,12,0
CRS3035RES200mN2527000E3918400,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,269.5,140,24,72,10,60,12,6622617.2,7935,139,1,26,0,0,114,0,17,15,8,15,18.5,30,101,57,14,8,3,0
CRS3035RES200mN2527000E3918600,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,682,369,52,191,7,143,28,17529626.8,23940,369,0,103,22,86,158,0,115,36.5,18.5,36,28,47.5,180,131,77.5,76,51,0
CRS3035RES200mN2527000E3918800,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,777.5,362,94,160,27,74,48,14742102.6,23734,362,0,1,1,261,85,14,236,37,21,65,62.5,50,199,144,77,85,34,3
CRS3035RES200mN2527000E3919000,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,246,140,27,76,2,61,8,6285253.2,7706,140,0,0,48,0,92,0,0,18,4,7.5,6.5,32,94,30,23,25,6,0
CRS3035RES200mN2527200E3917000,CRS3035RES1000mN2527000E3917000,CRS3035RES1000mN2527000E3917000,1,0,"69142,69382",9.5,4.1,0.3,1.5,0.1,2.2,0,345214.5,473.6,3.8,0.3,0.7,0,0,3.4,0,0,0.7,0.2,0.3,0.5,1.1,2.4,2.2,1.1,0.7,0.3,0
CRS3035RES200mN2527200E3918000,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,554,208,40,59,27,25,34,12431265.6,16019,208,0,0,0,0,208,0,166,33,16.5,38,66,50,110,120.5,42,45,26,7
CRS3035RES200mN2527200E3918200,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,624.5,273,68,101,26,65,51,12308210.4,17944,273,0,0,175,74,24,0,124,38,22,48,46.5,50,153,109,76,57,24,1
CRS3035RES200mN2527200E3918400,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,280,166,43,102,7,19,11,6360302.3,7560,166,0,10,8,0,148,0,44,18,5,23,7,38,117,42,12,14,4,0
CRS3035RES200mN2527200E3918600,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,298.5,127,9,50,8,75,13,7961233.4,9857,127,0,0,122,0,5,0,19,18,5,23.5,31,25,55,63,31,31,16,0
CRS3035RES200mN2527200E3918800,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,765.5,394,82,199,19,69,45,16667150.1,23464,382,12,20,91,178,105,0,246,34.5,23,45.5,50.5,40,178,149,99,102,44,0
CRS3035RES200mN2527200E3919000,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,643.5,338,66,164,13,117,31,15249306.4,21528,330,8,59,0,187,92,0,25,28,15.5,28.5,38,75.5,240,125,33,52,8,0
CRS3035RES200mN2527200E3919200,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,103.5,66,7,44,3,26,3,2629173.5,3725,66,0,60,0,6,0,0,0,6,1,4,3,5.5,45,19,10,4,6,0
CRS3035RES200mN2527400E3917000,CRS3035RES1000mN2527000E3917000,CRS3035RES1000mN2527000E3917000,1,0,"69142,69382",3,1.3,0.1,0.5,0,0.7,0,109015.1,149.6,1.2,0.1,0.2,0,0,1.1,0,0,0.2,0.1,0.1,0.2,0.3,0.8,0.7,0.3,0.2,0.1,0
CRS3035RES200mN2527400E3917800,CRS3035RES1000mN2527000E3917000,CRS3035RES1000mN2527000E3917000,0,0,69387,447.5,185,27,65,15,43,26,10372926.2,14250,185,0,0,53,132,0,0,51,25,12,38,46.5,37,106,97,37,32,17,0
CRS3035RES200mN2527400E3918000,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,1058.5,410,106,140,66,41,65,19689151.5,31221,409,1,15,234,119,39,3,315,47,31,100,120.5,87,197,189,116,131,39,1
CRS3035RES200mN2527400E3918200,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,1452,691,70,263,26,318,75,39010521,47745,688,3,12,150,266,263,0,102,71.5,31.5,93.5,103.5,118,425,271,142,144,52,0
CRS3035RES200mN2527400E3918400,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,250,145,17,84,3,46,11,7290648.6,8552,141,4,5,42,18,79,1,0,6.5,3,12,13,32.5,89,47,27,12,8,0
CRS3035RES200mN2527400E3918600,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,303,156,12,67,2,59,9,9257007.1,10000,155,1,12,0,0,144,0,9,22.5,5,13.5,12,32,125,58,18,11,6,0
CRS3035RES200mN2527400E3918800,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,519.5,314,55,184,9,100,18,13340351.2,17861,307,7,85,56,79,94,0,33,21,7,23,24.5,51,222,70,33,46,22,0
CRS3035RES200mN2527400E3919000,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,721.5,362,70,182,25,97,38,16241365.1,21917,356,6,80,16,53,213,0,103,49.5,16.5,54.5,48.5,68.5,250,102,50,55,25,2
