Code du département,Libellé du département,Code de la circonscription,Libellé de la circonscription,Code de la commune,Libellé de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp,,,,,,,
69,Rhône,01,1ère circonscription,123,Lyon,0211,961,238,"24,77",723,"75,23",41,"4,27","5,67",12,"1,25","1,66",670,"69,72","92,67",1,M,MACRON,Emmanuel,506,"52,65","75,52",2,F,LE PEN,Marine,164,"17,07","24,48"
69,Rhône,01,1ère circonscription,123,Lyon,0212,861,179,"20,79",682,"79,21",48,"5,57","7,04",10,"1,16","1,47",624,"72,47","91,5",1,M,MACRON,Emmanuel,493,"57,26","79,01",2,F,LE PEN,Marine,131,"15,21","20,99"
69,Rhône,01,1ère circonscription,123,Lyon,0213,752,183,"24,34",569,"75,66",33,"4,39","5,8",12,"1,6","2,11",524,"69,68","92,09",1,M,MACRON,Emmanuel,384,"51,06","73,28",2,F,LE PEN,Marine,140,"18,62","26,72"
69,Rhône,01,1ère circonscription,123,Lyon,0214,1203,277,"23,03",926,"76,97",44,"3,66","4,75",15,"1,25","1,62",867,"72,07","93,63",1,M,MACRON,Emmanuel,555,"46,13","64,01",2,F,LE PEN,Marine,312,"25,94","35,99"
69,Rhône,01,1ère circonscription,123,Lyon,0219,1131,285,"25,2",846,"74,8",41,"3,63","4,85",14,"1,24","1,65",791,"69,94","93,5",1,M,MACRON,Emmanuel,602,"53,23","76,11",2,F,LE PEN,Marine,189,"16,71","23,89"
69,Rhône,01,1ère circonscription,123,Lyon,0220,959,177,"18,46",782,"81,54",40,"4,17","5,12",13,"1,36","1,66",729,"76,02","93,22",1,M,MACRON,Emmanuel,594,"61,94","81,48",2,F,LE PEN,Marine,135,"14,08","18,52"
69,Rhône,01,1ère circonscription,123,Lyon,0501,931,201,"21,59",730,"78,41",44,"4,73","6,03",9,"0,97","1,23",677,"72,72","92,74",1,M,MACRON,Emmanuel,538,"57,79","79,47",2,F,LE PEN,Marine,139,"14,93","20,53"
69,Rhône,01,1ère circonscription,123,Lyon,0502,958,344,"35,91",614,"64,09",33,"3,44","5,37",15,"1,57","2,44",566,"59,08","92,18",1,M,MACRON,Emmanuel,427,"44,57","75,44",2,F,LE PEN,Marine,139,"14,51","24,56"
69,Rhône,01,1ère circonscription,123,Lyon,0503,959,244,"25,44",715,"74,56",34,"3,55","4,76",13,"1,36","1,82",668,"69,66","93,43",1,M,MACRON,Emmanuel,493,"51,41","73,8",2,F,LE PEN,Marine,175,"18,25","26,2"
69,Rhône,01,1ère circonscription,123,Lyon,0504,907,217,"23,93",690,"76,07",31,"3,42","4,49",3,"0,33","0,43",656,"72,33","95,07",1,M,MACRON,Emmanuel,513,"56,56","78,2",2,F,LE PEN,Marine,143,"15,77","21,8"
69,Rhône,01,1ère circonscription,123,Lyon,0505,944,162,"17,16",782,"82,84",41,"4,34","5,24",7,"0,74","0,9",734,"77,75","93,86",1,M,MACRON,Emmanuel,601,"63,67","81,88",2,F,LE PEN,Marine,133,"14,09","18,12"
69,Rhône,01,1ère circonscription,123,Lyon,0506,813,160,"19,68",653,"80,32",41,"5,04","6,28",12,"1,48","1,84",600,"73,8","91,88",1,M,MACRON,Emmanuel,482,"59,29","80,33",2,F,LE PEN,Marine,118,"14,51","19,67"
69,Rhône,01,1ère circonscription,123,Lyon,0507,1075,191,"17,77",884,"82,23",37,"3,44","4,19",11,"1,02","1,24",836,"77,77","94,57",1,M,MACRON,Emmanuel,649,"60,37","77,63",2,F,LE PEN,Marine,187,"17,4","22,37"
69,Rhône,01,1ère circonscription,123,Lyon,0508,1037,283,"27,29",754,"72,71",47,"4,53","6,23",10,"0,96","1,33",697,"67,21","92,44",1,M,MACRON,Emmanuel,520,"50,14","74,61",2,F,LE PEN,Marine,177,"17,07","25,39"
69,Rhône,01,1ère circonscription,123,Lyon,0509,1033,282,"27,3",751,"72,7",47,"4,55","6,26",10,"0,97","1,33",694,"67,18","92,41",1,M,MACRON,Emmanuel,495,"47,92","71,33",2,F,LE PEN,Marine,199,"19,26","28,67"
69,Rhône,01,1ère circonscription,123,Lyon,0510,1024,273,"26,66",751,"73,34",35,"3,42","4,66",15,"1,46",2,701,"68,46","93,34",1,M,MACRON,Emmanuel,538,"52,54","76,75",2,F,LE PEN,Marine,163,"15,92","23,25"
69,Rhône,01,1ère circonscription,123,Lyon,0511,1074,245,"22,81",829,"77,19",34,"3,17","4,1",22,"2,05","2,65",773,"71,97","93,24",1,M,MACRON,Emmanuel,569,"52,98","73,61",2,F,LE PEN,Marine,204,"18,99","26,39"
